,time,activity,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather,call,circumplex.arousal,circumplex.valence,mood,screen,sms
136470,2014-02-17,,,,,,,,,,,,,,1.0,,,,,
136472,2014-02-18,,,,,,,,,,,,,,1.0,,,,,
136473,2014-02-19,,,,,,,,,,,,,,1.0,,,,,1.0
141711,2014-02-20,,,,,,,,,,,,,,1.0,,,,,1.0
141714,2014-02-21,,,,,,,,,,,,,,1.0,,,,,1.0
136482,2014-02-22,,,,,,,,,,,,,,1.0,,,,,
136484,2014-02-25,,,,,,,,,,,,,,1.0,,,,,
0,2014-02-26,,,,,,,,,,,,,,1.0,,,,,
4,2014-02-27,,,,,,,,,,,,,,1.0,,,,,
136488,2014-02-28,,,,,,,,,,,,,,1.0,,,,,1.0
141718,2014-03-01,,,,,,,,,,,,,,1.0,,,,,
136492,2014-03-03,,,,,,,,,,,,,,1.0,,,,,
136493,2014-03-05,,,,,,,,,,,,,,1.0,,,,,1.0
136494,2014-03-06,,,,,,,,,,,,,,1.0,,,,,1.0
136495,2014-03-07,,,,,,,,,,,,,,1.0,,,,,
136500,2014-03-10,,,,,,,,,,,,,,1.0,,,,,
136501,2014-03-11,,,,,,,,,,,,,,1.0,,,,,
136504,2014-03-12,,,,,,,,,,,,,,1.0,,,,,
136511,2014-03-13,,,,,,,,,,,,,,1.0,,,,,
136515,2014-03-14,,,,,,,,,,,,,,1.0,,,,,
141721,2014-03-15,,,,,,,,,,,,,,1.0,,,,,
141722,2014-03-16,,,,,,,,,,,,,,1.0,,,,,
141725,2014-03-17,,,,,,,,,,,,,,1.0,,,,,
141726,2014-03-18,,,,,,,,,,,,,,1.0,,,,,
136519,2014-03-19,,,,,,,,,,,,,,1.0,,,,,
136520,2014-03-20,,,,,,,,,,,,,,1.0,,,,,
16929,2014-03-21,,,,,,,,,,,,,,1.0,,,,,
12,2014-03-22,,,,,,,,,,,,,,1.0,,,,,1.0
16968,2014-03-23,,,,,,,,,,,,,,1.0,,,,,
16983,2014-03-24,,,,,,,,,,,,,,1.0,,,,,
17007,2014-03-25,,,,,,,,,,,,,,1.0,,,,,
17031,2014-03-26,,,,,,,,,,,,,,1.0,,,,,
